ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses,retorno6_meses,retorno3_meses,retorno1_mes,lc,volatilidade_anualizada12_meses,volatilidade_anualizada6_meses,volatilidade_anualizada3_meses,volatilidade_anualizada1_mes,ev,valor_de_mercado
ELET3,ELETROBRAS,30/12/2003,111017341000,2307099000,6274467000,"48,5",267830877000,1000,"110,647580233","131,724796943","93,9224310282","22,4438273169","2,05239960584","55,0001594857","54,6513212364","60,6587561591","64,4407974861","37934484721,9","25788402721,9"
ELPL4,ELETROPAULO,30/12/2003,2814381000,197467000,3696657000,"72,8",30088218000,1000,180,"185,490196079","91,0761154856","17,4193548387","0,942000543934","64,5429278217","63,9908733962","65,8375836536","80,9075791367",[],[]
EMBR3,EMBRAER,30/12/2003,14082568000,740465000,-654119000,"19,3",53129321000,1,"53,4939029839","87,1007239951","64,2065425783","25,5385502941","1,74938665131","41,5974470901","32,9232744536","33,7004238503","36,7838202717",[],[]
EMBR4,EMBRAER EMP BRAS AERON SA,30/12/2003,4822833000,721832057,573538000,"25,7",15979976000,1,[],[],[],[],"1,83235618243",[],[],[],[],[],[]
GGBR4,GERDAU,30/12/2003,48802167000,1757067050,15833150000,61,75746608000,1,"176711,594202","85,4667072059","40,2943882245","20,3155818541","2,48785397544","80617,631772","33,9875638133","31,8832055391","34,520968028",15042755000,9049594000
ITAU4,ITAUUNIBANCO,30/12/2003,181519000000,9804135000,35983000000,287,"2,388492E+12",1000,[],[],[],[],[],[],[],[],[],"29603190206,5","31247003206,5"
ITSA4,ITAUSA,30/12/2003,77419000000,9701410000,3061000000,"3,41",97875000000,1,"97,2684019608","55,242050415","34,0403190227","17,2852791449","1,46062426538","29,4030568014","27,5702983484","24,2731751362","28,5555941467",9990391230,11002716230
KLBN4,KLABIN S/A,30/12/2003,12762792000,5617892756,6783862000,"3,76",49381534000,1,"274,312784831","30,692260466","18,9873417718","1,62162162138","2,06979378109","43,9870445377","29,4506174897","30,0364237844","25,8985735524",4185044000,3454688000
LIGH3,LIGHT,30/12/2003,1195043000,494310225787,-2311016000,"79,9",20133312000,1000,[],[],[],[],"0,632622360079",[],[],[],[],"6987521479,8","3036743479,8"
PETR3,PETROBRAS,30/12/2003,403405000000,13044496930,289398000000,"84,1",978577000000,1,"71,3846101332","55,1522911002","30,5451146266","15,2054794523","1,22377578824","29,6014643073","25,8050018384","25,6342983086","29,9742128988",107636507800,88658596800
PETR4,PETROBRAS,30/12/2003,403405000000,13044496930,289398000000,"76,4",978577000000,1,"78,1703585701","55,371823872","27,7529284605","12,187958884","1,22377578824","28,320136813","24,1605672554","23,8843431099","23,8273536296",107636507800,88658596800
PLIM4,NET,30/12/2003,6812389000,374722000,1136985000,"0,91",13430842000,1,[],[],[],[],"0,799763336714",[],[],[],[],[],[]
PTIP4,IPIRANGA PET,30/12/2003,1555491000,105952000,392993000,"14,1",2909343000,1000,[],[],[],[],"2,30613530765",[],[],[],[],817337600,746961600
SBSP3,SABESP,30/12/2003,28080745000,683509869,4878257000,"163,2",56926791000,1000,"92,7821597435","53,4092614611","33,8012905227","12,8763796702","1,03893072369","36,6441728937","35,1913220232","30,160416696","34,0553106111","10375111966,4","4647866966,4"
TBLE3,ENGIE BRASIL,30/12/2003,9248206000,815927740,5193568000,"8,01",39605625000,1000,"157,023820884","13,0337475061","15,1171932235","16,4244186051","1,19388615777","57,8471486664","53,0773540784","30,0427662461","35,5173990249","7387690965,93","5228464965,93"
TCOC4,TELE CTR OES,30/12/2003,2812921000,130068000,386540000,"9,61",3867566000,1000,[],[],[],[],"2,53380773516",[],[],[],[],"3970519674,02","3501242674,02"
TCSL3,TIM PART S/A,30/12/2003,22847754000,2421032479,3053069000,"3,03",39831158000,1000,[],[],[],[],"1,33990677306",[],[],[],[],"578336770,16","1080129770,16"
TCSL4,TIM PART S/A,30/12/2003,22847754000,2421032479,3053069000,"4,13",39831158000,1000,[],[],[],[],"1,33990677306",[],[],[],[],"578336770,16","1080129770,16"
TLCP4,TELE LESTE CL,30/12/2003,262979000,9644000,-22940000,"0,81",868040000,1000,[],[],[],[],"0,605226267758",[],[],[],[],"679967642,47","391670642,47"
TLPP4,TELEF BRASIL,30/12/2003,68820424000,1663556731,6866537000,"45,3",121842519000,1000,[],[],[],[],"0,885726625326",[],[],[],[],"22850921425,9","20904912425,9"
