TICKER,Nome da Empresa,Data da Análise,Preço de Fechamento,data,ano,PL,QNT,EBIT,AT,VM
IGTI11,IGUATEMI S.A,29/12/2022,18.5,2022-12-29,2022,41.07688,12.331069099999999,4.9917,80.48137,228.12477834999999
IRBR3,IRBBRASIL RE,29/12/2022,0.86,2022-12-29,2022,40.73511,0.82263012,-17.95222,229.77562,0.7074619032
ITSA4,ITAUSA,29/12/2022,8.51,2022-12-29,2022,765.35,97.0141,40.9,966.37,825.5899909999999
ITUB4,ITAUUNIBANCO,29/12/2022,25.0,2022-12-29,2022,1773.43,98.04135,368.61,23234.4,2451.03375
JBSS3,JBS,29/12/2022,21.99,2022-12-29,2022,498.08931,22.1811637,-0.60514,2081.10628,487.7637897629999
KLBN11,KLABIN S/A,29/12/2022,19.97,2022-12-29,2022,115.68266,56.178927560000005,66.47028,475.77358,1121.8931833732001
LREN3,LOJAS RENNER,29/12/2022,20.48,2022-12-29,2022,100.87515,9.91227,14.07401,211.48892,203.0032896
LWSA3,LOCAWEB,29/12/2022,7.02,2022-12-29,2022,29.77587,5.925104480000001,0.48561,47.24602,41.594233449600004
MGLU3,MAGAZ LUIZA,29/12/2022,2.74,2022-12-29,2022,106.48701,67.48926848,8.07373,377.65845,184.92059563520004
MRFG3,MARFRIG,29/12/2022,8.7,2022-12-29,2022,264.49609,6.6,97.19529,1361.04323,57.419999999999995
MRVE3,MRV,29/12/2022,7.6,2022-12-29,2022,65.74308,4.83233,4.60023,226.01329,36.725708
MULT3,MULTIPLAN,29/12/2022,21.9,2022-12-29,2022,65.82543,6.00760875,10.5195,108.77311,131.56663162499999
NTCO3,GRUPO NATURA,29/12/2022,11.61,2022-12-29,2022,223.51184,13.83206,-4.57781,546.8539,160.5902166
PCAR3,P.ACUCAR-CBD,29/12/2022,16.52,2022-12-29,2022,137.33,2.70139,-3.6,438.39,44.6269628
PETR3,PETROBRAS,29/12/2022,28.04,2022-12-29,2022,3643.85,130.4449693,2929.64,9767.09,3657.676939172
PETR4,PETROBRAS,29/12/2022,24.5,2022-12-29,2022,3643.85,130.4449693,2929.64,9767.09,3195.90174785
PETZ3,PETZ,29/12/2022,6.26,2022-12-29,2022,18.40572,4.616428849999999,1.3567,36.47129,28.898844600999993
POSI3,POSITIVO TEC,29/12/2022,9.39,2022-12-29,2022,14.0632,1.418,6.33365,41.99825,13.31502
PRIO3,PETRORIO,29/12/2022,37.21,2022-12-29,2022,98.92017,8.82646385,39.16213,203.0252,328.4327198585
QUAL3,QUALICORP,29/12/2022,5.87,2022-12-29,2022,13.56594,2.84014325,3.67181,45.12028,16.6716408775
RADL3,RAIADROGASIL,29/12/2022,23.72,2022-12-29,2022,54.02941,16.5193,18.40145,171.85306,391.837796
RAIL3,RUMO S.A.,29/12/2022,18.61,2022-12-29,2022,154.1045,18.54158791,29.9571,459.51745,345.05895100509997
RAIZ4,RAIZEN,29/12/2022,3.74,2022-12-29,2022,218.05258,103.52509484000001,36.03178,1050.60647,387.18385470160007
RDOR3,REDE D OR,29/12/2022,29.58,2022-12-29,2022,230.7697,22.892925899999998,38.5276,924.90681,677.1727481219999
RENT3,LOCALIZA,29/12/2022,53.2,2022-12-29,2022,205.70605,9.84159,45.29339,656.56631,523.572588
RRRP3,3R PETROLEUM,29/12/2022,37.75,2022-12-29,2022,43.41275,2.03087632,2.71057,79.71135,76.66558108
SANB11,SANTANDER BR,29/12/2022,28.19,2022-12-29,2022,1106.80176,74.98531,193.75548,9854.50829,2113.8358889
SBSP3,SABESP,29/12/2022,57.16,2022-12-29,2022,273.33533,6.835098690000001,46.20613,572.07765,390.6942411204
SLCE3,SLC AGRICOLA,29/12/2022,46.91,2022-12-29,2022,48.96432,2.1242259900000002,25.31154,148.68389,99.6474411909
SMTO3,SAO MARTINHO,29/12/2022,26.52,2022-12-29,2022,57.88725,3.54011329,22.11413,188.55766,93.8838044508
SOMA3,GRUPO SOMA,29/12/2022,10.14,2022-12-29,2022,74.04929,7.847473730000001,4.46799,106.38039,79.57338362220001
