ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses
EMBR3,EMBRAER,28/12/2016,14082568000,740465000,-654119000,"15,69",53129321000,1,"-45,7190635702"
ENBR3,ENERGIAS BR,28/12/2016,12366216000,581165000,3220950000,"13,86",37252581000,1,"19,9041581534"
EQTL3,EQUATORIAL,28/12/2016,20867323000,1129315455,5881363000,"54,31",92834649000,1,"60,2944910129"
ESTC3,YDUQS PART,28/12/2016,3114113000,309088000,707115000,"15,43",9573709000,1,"23,6487298917"
FIBR3,FIBRIA,28/12/2016,14222844000,553733881,6720798000,"31,65",40818649000,1,"-36,1035888705"
GGBR4,GERDAU,28/12/2016,48802167000,1757067050,15833150000,"10,77",75746608000,1,"132,112068966"
GOAU4,GERDAU MET,28/12/2016,49822526000,1033840804,15770630000,"4,77",76759564000,1,"189,090909091"
HYPE3,HYPERA,28/12/2016,10817187000,633420823,2531682000,"26,09",22517989000,1,"22,0117559029"
ITSA4,ITAUSA,28/12/2016,77419000000,9701410000,3061000000,"8,08",97875000000,1,"37,8754329114"
ITUB4,ITAUUNIBANCO,28/12/2016,181519000000,9804135000,35983000000,"33,48","2,388492E+12",1,"26,7221801664"
JBSS3,JBS,28/12/2016,48067967000,2218116370,16558463000,"11,48",200211568000,1,"-3,07197328449"
KLBN11,KLABIN S/A,28/12/2016,12762792000,5617892756,6783862000,"17,43",49381534000,1,"-21,6162321053"
KROT3,COGNA ON,28/12/2016,13289154000,1876606210,405666000,"13,27",25825690000,1,"37,3779346371"
LAME4,LOJAS AMERIC,28/12/2016,16066695000,1885307731,1126807000,"16,95",43736188000,1,"2,61510773722"
LREN3,LOJAS RENNER,28/12/2016,9665782000,963227000,1236898000,"23,24",19691820000,1,"36,8502201854"
MRFG3,MARFRIG,28/12/2016,24665431000,660000000,7140513000,"6,59",131530716000,1,"5,77849117173"
MRVE3,MRV,28/12/2016,6705646000,483233000,318692000,"10,95",22739681000,1,"28,9342642489"
MULT3,MULTIPLAN,28/12/2016,6723484000,600760875,1268290000,"58,55",11050632000,1,"52,3732868646"
NATU3,NATURA,28/12/2016,6077038000,920205000,1587235000,23,24475391000,1,"-0,0648026728027"
PCAR4,P.ACUCAR-CBD,28/12/2016,13667000000,270139000,-690000000,"54,14",43454000000,1,"28,2938388628"
PETR3,PETROBRAS,28/12/2016,403405000000,13044496930,289398000000,"16,98",978577000000,1,"98,1330221701"
PETR4,PETROBRAS,28/12/2016,403405000000,13044496930,289398000000,"14,78",978577000000,1,"120,926756353"
QUAL3,QUALICORP,28/12/2016,1375870000,284014325,303757000,"18,66",4607925000,1,"47,6363505267"
RADL3,RAIADROGASIL,28/12/2016,5523652000,1651930000,1999644000,"60,02",18249424000,1,"67,296736647"
RENT3,LOCALIZA,28/12/2016,20853910000,988436000,5217016000,"33,1",66364903000,1,"39,1241296372"
RUMO3,RUMO LOG,28/12/2016,6109500000,1339015898,1263320000,"6,15",23108675000,1,"-2,68987341772"
SANB11,SANTANDER BR,28/12/2016,112529100000,7498531000,15995913000,"29,19","1,025113074E+12",1,"92,5760124464"
SBSP3,SABESP,28/12/2016,28080745000,683509869,4878257000,"28,06",56926791000,1,"50,1807702411"
SMLE3,SMILES SA,28/12/2016,524731000,123856840,695589000,"44,75",1774926000,1,"42,0686482766"
TIMP3,TIM PART S/A,28/12/2016,22847754000,2421032479,3053069000,"7,75",39831158000,1,"14,1384388807"
UGPA3,ULTRAPAR,28/12/2016,12369547000,1115204291,3452700000,"67,24",33808035000,1,"10,8956637973"
VALE3,VALE,28/12/2016,197477000000,4539007000,69271000000,"26,68",444773000000,1,"110,980771294"
VIVT4,TELEF BRASIL,28/12/2016,68820424000,1663556731,6866537000,"43,35",121842519000,1,"24,3738952226"
WEGE3,WEG,28/12/2016,15300329000,4197317998,5491192000,15,28920083000,1,"-1,25438271787"
ABEV3,AMBEV S/A,28/12/2015,86436867000,15753833000,18412913000,"18,14",135466722000,1,"15,3569443473"
BBAS3,BRASIL,28/12/2015,168133312000,2865417020,36731922000,"14,98","2,089927595E+12",1,"-31,8928923022"
BBDC3,BRADESCO,28/12/2015,163046282000,10658488000,18568353000,"21,43","1,828731521E+12",1,"-22,2022149384"
BBDC4,BRADESCO,28/12/2015,163046282000,10658488000,18568353000,"19,59","1,828731521E+12",1,"-29,2363184345"
BBSE3,BBSEGURIDADE,28/12/2015,10047334000,2000000000,3844609000,"24,36",14397844000,1,"-20,6861477901"
BRAP4,BRADESPAR,28/12/2015,7434838000,393097000,-52026000,"4,91",8017832000,1,"-62,1038035031"
BRFS3,BRF SA,28/12/2015,10857054000,1078116849,210368000,"59,03",57742806000,1,"-6,01575300181"
BRML3,BR MALLS PAR,28/12/2015,11392188000,828274000,842056000,"11,57",18005279000,1,"-28,0403415563"
BRPR3,BR PROPERT,28/12/2015,1862154000,11611000,-2113205000,"8,1",4775531000,1,"-0,991021584331"
BVMF3,B3,28/12/2015,20559657000,6099000000,5501567000,"10,91",45806400000,1,"17,5597051254"
CCRO3,CCR SA,28/12/2015,12454743000,2020000000,5238979000,"12,99",50784482000,1,"-14,0029934815"
CIEL3,CIELO,28/12/2015,14074509000,2716815061,2998070000,"34,32",100074287000,1,"3,46534965008"
CMIG4,CEMIG,28/12/2015,22797430000,2201371000,5102422000,"6,2",54085360000,1,"-52,7454531826"
CPFE3,CPFL ENERGIA,28/12/2015,19185907000,1152254440,10594153000,"15,2",72470214000,1,"-17,2702234584"
CSAN3,COSAN,28/12/2015,47493020000,1874070932,8402310000,"25,31",131954488000,1,"-9,13782367297"
CSNA3,SID NACIONAL,28/12/2015,21692851000,1326093947,4426482000,"4,24",86595892000,1,"-21,7445762767"
CTIP3,CETIP,28/12/2015,1486255000,262978823,454131000,"37,25",3449512000,1,"21,8561493114"
CYRE3,CYRELA REALT,28/12/2015,7870905000,399743000,699112000,"7,43",16321140000,1,"-30,2522599409"
ECOR3,ECORODOVIAS,28/12/2015,2631712000,696334000,1826187000,"5,03",19277195000,1,"-50,9527781332"
ELET3,ELETROBRAS,28/12/2015,111017341000,2307099000,6274467000,"5,55",267830877000,1,"-6,25000000002"
EMBR3,EMBRAER,28/12/2015,14082568000,740465000,-654119000,"28,64",53129321000,1,"16,5712040699"
ENBR3,ENERGIAS BR,28/12/2015,12366216000,581165000,3220950000,"12,34",37252581000,1,"39,638025486"
EQTL3,EQUATORIAL,28/12/2015,20867323000,1129315455,5881363000,"34,85",92834649000,1,"30,9438680023"
ESTC3,YDUQS PART,28/12/2015,3114113000,309088000,707115000,"13,94",9573709000,1,"-44,6859521149"
FIBR3,FIBRIA,28/12/2015,14222844000,553733881,6720798000,"51,25",40818649000,1,"66,1584143531"
GGBR4,GERDAU,28/12/2015,48802167000,1757067050,15833150000,"4,76",75746608000,1,"-50,6224066389"
GOAU4,GERDAU MET,28/12/2015,49822526000,1033840804,15770630000,"1,66",76759564000,1,"-85,0699801292"
GOLL4,GOL,28/12/2015,-21040743000,3200516077,1276468000,"2,39",16993858000,1,"-84,0560373582"
HGTX3,CIA HERING,28/12/2015,1704935000,162534000,-8613000,"15,23",2457826000,1,"-19,4817956524"
HYPE3,HYPERA,28/12/2015,10817187000,633420823,2531682000,"21,63",22517989000,1,"28,3679525222"
ITSA4,ITAUSA,28/12/2015,77419000000,9701410000,3061000000,"6,98",97875000000,1,"-14,1233186571"
ITUB4,ITAUUNIBANCO,28/12/2015,181519000000,9804135000,35983000000,"26,4","2,388492E+12",1,"-24,1379310344"
JBSS3,JBS,28/12/2015,48067967000,2218116370,16558463000,"12,37",200211568000,1,"9,49813100756"
KLBN11,KLABIN S/A,28/12/2015,12762792000,5617892756,6783862000,"22,89",49381534000,1,"61,1286956986"
KROT3,COGNA ON,28/12/2015,13289154000,1876606210,405666000,"9,87",25825690000,1,"-39,5269734575"
LAME4,LOJAS AMERIC,28/12/2015,16066695000,1885307731,1126807000,19,43736188000,1,"11,3817133834"
LREN3,LOJAS RENNER,28/12/2015,9665782000,963227000,1236898000,"16,97",19691820000,1,"13,6737564911"
MRFG3,MARFRIG,28/12/2015,24665431000,660000000,7140513000,"6,35",131530716000,1,"3,25203252031"
MRVE3,MRV,28/12/2015,6705646000,483233000,318692000,"8,84",22739681000,1,"21,7315607606"
MULT3,MULTIPLAN,28/12/2015,6723484000,600760875,1268290000,"40,12",11050632000,1,"-12,9573193865"
NATU3,NATURA,28/12/2015,6077038000,920205000,1587235000,"24,12",24475391000,1,"-21,3155666483"
OIBR3,OI,28/12/2015,-21846002000,6603037000,-18261908000,"2,78",29616098000,1,"-69,945945946"
PCAR4,P.ACUCAR-CBD,28/12/2015,13667000000,270139000,-690000000,"42,75",43454000000,1,"-57,108457911"
PETR3,PETROBRAS,28/12/2015,403405000000,13044496930,289398000000,"8,61",978577000000,1,"-12,765957447"
PETR4,PETROBRAS,28/12/2015,403405000000,13044496930,289398000000,"6,7",978577000000,1,"-34,8249027236"
QUAL3,QUALICORP,28/12/2015,1375870000,284014325,303757000,14,4607925000,1,"-42,7392237819"
RADL3,RAIADROGASIL,28/12/2015,5523652000,1651930000,1999644000,"36,7",18249424000,1,"47,1065517156"
RENT3,LOCALIZA,28/12/2015,20853910000,988436000,5217016000,"25,2",66364903000,1,"-29,6720970455"
RUMO3,RUMO LOG,28/12/2015,6109500000,1339015898,1263320000,"6,07",23108675000,1,[]
SANB11,SANTANDER BR,28/12/2015,112529100000,7498531000,15995913000,"16,19","1,025113074E+12",1,"29,2296642481"
SBSP3,SABESP,28/12/2015,28080745000,683509869,4878257000,19,56926791000,1,"9,37092847943"
SMLE3,SMILES SA,28/12/2015,524731000,123856840,695589000,"34,07",1774926000,1,"-22,0203884479"
TBLE3,ENGIE BRASIL,28/12/2015,9248206000,815927740,5193568000,34,39605625000,1,"3,56203335532"
TIMP3,TIM PART S/A,28/12/2015,22847754000,2421032479,3053069000,"6,91",39831158000,1,"-42,1757322176"
UGPA3,ULTRAPAR,28/12/2015,12369547000,1115204291,3452700000,"63,13",33808035000,1,"23,3214837723"
VALE3,VALE,28/12/2015,197477000000,4539007000,69271000000,"12,64",444773000000,1,"-39,749065446"
VIVT4,TELEF BRASIL,28/12/2015,68820424000,1663556731,6866537000,"36,75",121842519000,1,"-15,9363528381"
ABEV3,AMBEV S/A,29/12/2014,86436867000,15753833000,18412913000,"16,37",135466722000,1,"-1,00582994168"
ALLL3,RUMO S.A.,29/12/2014,15487460000,1854158791,3202312000,"5,01",45466781000,1,"-23,5852197053"
BBAS3,BRASIL,29/12/2014,168133312000,2865417020,36731922000,"24,3","2,089927595E+12",1,"6,5355813366"
BBDC3,BRADESCO,29/12/2014,163046282000,10658488000,18568353000,"34,81","1,828731521E+12",1,"12,9363003428"
BBDC4,BRADESCO,29/12/2014,163046282000,10658488000,18568353000,"35,3","1,828731521E+12",1,"26,3059439761"
BBSE3,BBSEGURIDADE,29/12/2014,10047334000,2000000000,3844609000,"32,47",14397844000,1,"41,7266238828"
BRAP4,BRADESPAR,29/12/2014,7434838000,393097000,-52026000,"14,34",8017832000,1,"-37,1121515113"
BRFS3,BRF SA,29/12/2014,10857054000,1078116849,210368000,"63,83",57742806000,1,"31,7386167045"
BRML3,BR MALLS PAR,29/12/2014,11392188000,828274000,842056000,"16,54",18005279000,1,"-0,479945709005"
BRPR3,BR PROPERT,29/12/2014,1862154000,11611000,-2113205000,"10,35",4775531000,1,"-19,0090050992"
BVMF3,B3,29/12/2014,20559657000,6099000000,5501567000,"9,93",45806400000,1,"-6,94051329685"
CCRO3,CCR SA,29/12/2014,12454743000,2020000000,5238979000,"15,84",50784482000,1,"-6,74174812085"
CIEL3,CIELO,29/12/2014,14074509000,2716815061,2998070000,"40,71",100074287000,1,"28,4874938392"
CMIG4,CEMIG,29/12/2014,22797430000,2201371000,5102422000,"13,54",54085360000,1,"19,4768507893"
CPFE3,CPFL ENERGIA,29/12/2014,19185907000,1152254440,10594153000,"18,96",72470214000,1,"4,52752314953"
CRUZ3,SOUZA CRUZ,29/12/2014,1877345000,1528451000,2349369000,"19,64",5869178000,1,"-14,2556714407"
CSAN3,COSAN,29/12/2014,47493020000,1874070932,8402310000,"28,7",131954488000,1,"-18,2708297849"
CSNA3,SID NACIONAL,29/12/2014,21692851000,1326093947,4426482000,"5,85",86595892000,1,"-58,1252889725"
